PID,i_lum_F1_indiv,i_lum_k12(KA),i_lum_k23(Q/V),i_lum_k32(Q/VP),i_lum_k20(CL/V),total_mg_dose_per_occassion,DS,Q,V,CL,VP
139,0.177863,0.0386,0.0347331,0.00590206,0.136307,480,0.24338,0.33164,,9.54824,1.30149,56.1905
140,0.424193,0.0386,0.080992,0.00590206,0.317847,480,0.24338,0.33164,,4.09472,1.30149,56.1905
141,0.355052,0.0386,0.0838854,0.00590206,0.329201,480,0.24338,0.33164,,3.95349,1.30149,56.1905
142,0.253106,0.0386,0.0587827,0.00590206,0.230688,480,0.24338,0.33164,,5.64179,1.30149,56.1905
143,0.153074,0.0386,0.0452929,0.00590206,0.177748,480,0.24338,0.33164,,7.32211,1.30149,56.1905
144,0.190646,0.0386,0.0498267,0.00590206,0.195541,480,0.24338,0.33164,,6.65587,1.30149,56.1905
145,0.127239,0.0386,0.173785,0.00590206,0.682006,480,0.24338,0.33164,,1.90833,1.30149,56.1905
146,0.501724,0.0386,0.008078,0.00590206,0.0317015,480,0.24338,0.33164,,41.0547,1.30149,56.1905
147,0.6149,0.0386,0.0771532,0.00590206,0.302782,480,0.24338,0.33164,,4.29846,1.30149,56.1905
148,0.0964154,0.0386,0.00552405,0.00590206,0.0216787,480,0.24338,0.33164,,60.0356,1.30149,56.1905
149,0.28259,0.0386,0.0027031,0.00590206,0.0106081,480,0.24338,0.33164,,122.688,1.30149,56.1905
150,0.131482,0.0386,0.0504031,0.00590206,0.197803,480,0.24338,0.33164,,6.57975,1.30149,56.1905
151,0.240502,0.0386,0.130059,0.00590206,0.510406,480,0.24338,0.33164,,2.54992,1.30149,56.1905
152,0.561902,0.0386,0.357071,0.00590206,1.40129,480,0.24338,0.33164,,0.928779,1.30149,56.1905
153,0.576262,0.0386,0.0161005,0.00590206,0.0631851,480,0.24338,0.33164,,20.5981,1.30149,56.1905
154,0.19815,0.0386,0.0112165,0.00590206,0.0440184,480,0.24338,0.33164,,29.567,1.30149,56.1905
155,0.19018,0.0386,0.0355151,0.00590206,0.139376,480,0.24338,0.33164,,9.33798,1.30149,56.1905
156,0.0441099,0.0386,0.0353812,0.00590206,0.138851,480,0.24338,0.33164,,9.37332,1.30149,56.1905
157,0.307154,0.0386,0.0975407,0.00590206,0.382791,480,0.24338,0.33164,,3.40001,1.30149,56.1905
